"","ds","dep_var","trend","season","holiday","competitor_sales_B","events","tv_S","ooh_S","print_S","facebook_S","search_S","newsletter","intercept","depVarHat","solID","cluster","top_sol"
"1",2016-01-04,2171506.66666667,182965.975389255,241580.330909273,0,1190200.71065641,0,9235.98038431181,120656.43722776,24666.3893216419,13071.3203945468,24485.3112060036,28347.1240630275,470781.33337471,2305990.91292694,"1_402_1",1,FALSE
"2",2016-01-11,2464131.66666667,183093.114540295,177523.243808763,0,1271740.004361,0,1689.20817037556,75820.5679966177,119719.427724924,16192.3137753245,28275.9304986648,21157.2304181546,470781.33337471,2365992.37466883,"1_402_1",1,FALSE
"3",2016-01-18,2012520,183220.25362669,117538.094776394,0,1143987.38597277,0,89.3396325539193,41866.7370198705,16108.0075445305,12508.7484269505,20301.4165650935,19975.2696114749,470781.33337471,2026376.58655104,"1_402_1",1,FALSE
"4",2016-01-25,1738911.66666667,183347.392713085,84280.9819788195,0,944634.678377056,0,4.70181497017072,21173.2459851829,65192.5286239544,8159.13096117684,19321.2425789583,14202.5101754155,470781.33337471,1811097.74658333,"1_402_1",1,FALSE
"5",2016-02-01,1772306.66666667,183474.531799479,69590.6528091942,0,935198.219260408,0,11694.6725785497,53599.5180755871,4997.82827432637,13.6636861697812,17015.9779936643,7521.15965099773,470781.33337471,1753887.55750309,"1_402_1",1,FALSE
"6",2016-02-08,1809058.33333333,183601.670885874,53021.9376921496,0,1002166.94157035,0,638.226165406402,27918.4335080447,20809.8977463066,9808.55739514988,16359.7752306571,6834.18695370614,470781.33337471,1791940.96052235,"1_402_1",1,FALSE
"7",2016-02-15,1952740,183728.809972268,24787.5764429705,0,993703.037078011,0,197736.15371201,13647.5358572095,10624.5317691293,1636.62234896946,640.706914442562,15134.0581099713,470781.33337471,1912420.36557969,"1_402_1",1,FALSE
"8",2016-02-22,1507805,183855.949058663,-11877.7985565823,0,857896.424042607,0,26489.1403630464,6450.93448361558,569.366155421607,2.61107059688036,21.0701003103012,17902.5006919795,470781.33337471,1552091.53078437,"1_402_1",1,FALSE
"9",2016-02-29,1510391.66666667,183983.088104446,-51925.1340610223,0,778439.274393323,0,131349.954470287,2999.25239477963,28.9089496195772,3795.04785413406,10940.7810601372,1902.44716070455,470781.33337471,1532294.95370112,"1_402_1",1,FALSE
"10",2016-03-07,1588840,184110.227150229,-92624.7185731671,0,852621.181272536,0,11583.2505164236,1383.57365033445,89476.8418463819,6.15094936321868,16568.6288842281,3235.54180605141,470781.33337471,1537142.01087709,"1_402_1",1,FALSE
"11",2016-03-14,1605990,184237.366196012,-128261.209874227,0,842794.778776954,0,33485.1288960238,52359.3442234437,8485.36488553522,0.00969850989826491,14039.5997248996,2046.17050739277,470781.33337471,1479967.88640926,"1_402_1",1,FALSE
"12",2016-03-21,1356010,184364.505241796,-150972.700912189,15638.9630632081,771419.440304721,0,1963.72503925564,27186.426513535,449.426185379558,1.52914528960949e-05,13178.1054874337,2824.58513522943,470781.33337471,1336833.80944837,"1_402_1",1,FALSE
"13",2016-03-28,2103936.66666667,184491.644287579,-162602.736721762,813347.288516034,769121.590152709,0,103.946497163158,67923.4141681172,74770.9108667826,35432.4410199707,14762.2575337127,4747.69127815324,470781.33337471,2272879.78097317,"1_402_1",1,FALSE
"14",2016-04-04,1120835,184618.783333362,-179868.92873005,0,637989.007404231,0,5.47079849165042,36721.5751331594,6200.74800826051,82.860216150211,10600.3352453929,4955.10557287349,470781.33337471,1172086.29035658,"1_402_1",1,FALSE
"15",2016-04-11,1141140,184745.922379145,-217949.188525184,0,643180.629931117,0,0.287846012488102,69603.0626631105,324.382007341116,0.13072175364436,9848.22853964209,1340.6050184432,470781.33337471,1161875.39395609,"1_402_1",1,FALSE
"16",2016-04-18,1166880,184873.061405294,-267628.692416894,0,625169.682816857,0,3994.01469794025,37797.7997981099,16.4490869085926,3512.47194668392,9228.9074880704,5301.98548431424,470781.33337471,1073047.01368199,"1_402_1",1,FALSE
