,Target variable,Score
0,0,8.249622e-05
1,0,1.3255234e-06
2,0,5.3313283e-06
3,0,3.6248996e-06
4,0,7.0589103e-06
5,0,8.4877144e-07
6,0,0.00059269386
7,0,4.6186457e-08
8,0,5.5286982e-06
9,0,1.06291814e-07
10,0,9.436996e-07
11,0,0.0011366816
12,0,0.0073607024
13,0,2.988128e-06
14,0,5.1699993e-07
15,0,7.613318e-07
16,0,0.00094676035
17,0,5.8061933e-06
18,0,0.016798085
19,0,1.3230847e-05
20,0,8.97109e-05
21,0,1.4261151e-06
22,0,4.4405308e-05
23,0,9.1636235e-07
24,0,6.349575e-06
25,0,3.08559e-06
26,0,2.3894212e-05
27,0,4.877971e-05
28,0,7.713796e-08
29,0,2.0600264e-06
30,0,7.310383e-05
31,0,8.552753e-05
32,0,1.1435067e-06
33,0,3.099741e-06
34,0,7.783665e-06
35,0,3.2508528e-06
36,0,0.52828765
37,0,2.4562047e-05
38,0,9.164235e-06
39,0,7.094346e-05
40,0,4.5340632e-05
41,0,1.0171975e-05
42,0,1.4983839e-05
43,0,0.0017291403
44,0,0.00011300462
45,0,2.3093642e-07
46,0,5.3388336e-05
47,0,5.3178184e-07
48,0,1.5182029e-07
49,0,0.000104445426
50,0,1.9825651e-05
51,0,2.9191253e-06
52,0,3.4481636e-05
53,0,7.825002e-06
54,0,5.6487306e-06
55,0,1.4185086e-05
56,0,0.0007719083
57,0,8.34595e-05
58,0,2.6211635e-06
59,0,1.6739516e-05
60,0,1.1692033e-05
61,0,7.528596e-05
62,0,2.3715297e-06
63,0,0.00025179776
64,0,1.1345915e-05
65,0,3.9504616e-06
66,0,0.00018669566
67,0,1.0557071e-07
68,0,2.0176973e-05
69,0,0.000184502
70,0,1.9912572e-06
71,0,4.0893174e-05
72,0,3.9536284e-05
73,0,6.9569064e-06
74,0,1.3546902e-05
75,0,3.5674482e-05
76,0,2.8461538e-05
77,0,4.865968e-07
78,0,4.488401e-05
79,0,1.7800623e-05
80,0,2.2560176e-05
81,0,0.0009378479
82,0,0.0007726789
83,0,1.3118873e-05
84,0,1.8776298e-05
85,0,1.3695433e-06
86,0,6.4180036e-05
87,0,1.4117995e-06
88,0,1.6348724e-06
89,0,2.5267747e-05
90,0,2.8963507e-06
91,0,2.358743e-06
92,0,6.8329623e-06
93,0,1.3250495e-05
94,0,2.6655453e-06
95,0,7.1954305e-06
96,0,1.00552825e-05
97,0,2.4140636e-05
98,0,0.00041224834
99,0,0.0002746832
100,0,2.1145174e-06
101,0,7.0000256e-06
102,0,9.1181363e-07
103,0,4.1464617e-05
104,0,2.3890134e-05
105,0,2.2291695e-07
106,0,9.62781e-06
107,0,3.8740196e-05
108,0,0.00031665422
109,0,3.2528336e-05
110,0,2.6205962e-06
111,0,6.510045e-05
112,0,9.914744e-06
113,0,0.0003896347
114,0,1.39208105e-05
115,0,4.441905e-06
116,0,6.0026523e-05
117,0,0.092051364
118,0,2.0493599e-07
119,0,9.84409e-07
120,0,3.990264e-06
121,0,3.5418275e-06
122,0,5.5134627e-05
123,0,4.460051e-06
124,0,5.0663616e-06
125,0,2.5783522e-05
126,0,0.0011928055
127,0,3.6858538e-08
128,0,0.00030104225
129,0,4.340439e-05
130,0,1.8796418e-05
131,0,2.224751e-06
132,0,1.0926061e-05
133,0,0.00081012055
134,0,8.537919e-07
135,0,5.7074438e-05
136,0,8.853065e-06
137,0,8.791763e-06
138,0,8.163147e-07
139,0,3.9613307e-05
140,0,0.0011331873
141,0,4.8486663e-07
142,0,7.703561e-05
143,0,4.844446e-07
144,0,4.4681157e-05
145,0,5.996153e-05
146,0,1.2322593e-05
147,0,0.00018103793
148,0,0.00053407194
149,0,3.42638e-07
150,0,0.0011473392
151,0,8.5746547e-07
152,0,1.3454678e-05
153,0,2.1888854e-06
154,0,0.00011463927
155,0,3.90968e-06
156,0,1.631054e-07
157,0,0.0014082936
158,0,2.3325094e-05
159,0,0.00013116718
160,0,0.00024917338
161,0,4.475159e-06
162,0,3.8012752e-07
163,0,0.00014980054
164,0,8.452911e-06
165,0,7.355914e-05
166,0,0.00027274556
167,0,3.6966617e-06
168,0,1.8515886e-05
169,0,2.0016128e-06
170,0,0.11186794
171,0,2.1014503e-06
172,0,0.0001944012
173,0,1.1220054e-05
174,0,3.4483148e-06
175,0,9.347604e-07
176,0,0.00018498182
177,0,6.16746e-05
178,0,2.655019e-06
179,0,5.009449e-07
180,0,1.6782114e-05
181,0,5.074677e-05
182,0,8.611659e-06
183,0,1.8208148e-06
184,0,8.1567896e-07
185,0,2.4742954e-05
186,0,7.260217e-05
187,0,8.5415304e-05
188,0,2.8367706e-06
189,0,2.9781165e-06
190,0,2.5809033e-05
191,0,1.7009916e-05
192,0,9.958256e-07
193,0,2.3037926e-05
194,0,9.701517e-05
195,0,8.6136315e-05
196,0,0.00014410437
197,0,3.822091e-05
198,0,1.018782e-06
199,0,3.7385224e-05
200,0,2.6984917e-05
201,0,1.1362719e-05
202,0,2.0202149e-06
203,0,1.5064491e-05
204,0,0.00035737295
205,0,7.4159393e-06
206,0,0.00019437229
207,0,1.5028761e-05
208,0,0.0042389315
209,0,8.840494e-06
210,0,9.133297e-06
211,0,1.8265802e-06
212,0,7.1521737e-07
213,0,9.593747e-07
214,0,2.1985357e-05
215,0,6.07829e-05
216,0,3.7093537e-07
217,0,4.495872e-06
218,0,1.0915083e-05
219,0,7.405738e-05
220,0,5.2108662e-05
221,0,0.000105364146
222,0,0.00015263802
223,0,3.9860342e-06
224,0,0.00016575374
225,0,1.8678002e-05
226,0,1.0788692e-05
227,0,0.00019966972
228,0,7.411906e-05
